의안번호,Target,Source
2000001,9770995,9770347
2000001,9770995,9770380
2000001,9770995,9770456
2000001,9770995,9770568
2000001,9770995,9770678
2000001,9770995,9770712
2000001,9770995,9770753
2000001,9770995,9770792
2000001,9770995,9770813
2000001,9770995,9770859
2000001,9770995,9770911
2000001,9770995,9770936
2000001,9770995,9770963
2000001,9770995,9770967
2000001,9770995,9770999
2000001,9770995,9771013
2000002,9770904,9770316
2000002,9770904,9770387
2000002,9770904,9770450
2000002,9770904,9770477
2000002,9770904,9770534
2000002,9770904,9770566
2000002,9770904,9770596
2000002,9770904,9770621
2000002,9770904,9770744
2000002,9770904,9770835
2000002,9770904,9770837
2000002,9770904,9770908
2000002,9770904,9770914
2000003,9770678,9770356
2000003,9770678,9770380
2000003,9770678,9770386
2000003,9770678,9770587
2000003,9770678,9770623
2000003,9770678,9770712
2000003,9770678,9770746
2000003,9770678,9770761
2000003,9770678,9770779
2000003,9770678,9770881
2000004,9770914,9770310
2000004,9770914,9770625
2000004,9770914,9770679
2000004,9770914,9770685
2000004,9770914,9770768
2000004,9770914,9770838
2000004,9770914,9770883
2000004,9770914,9770899
2000004,9770914,9770904
2000004,9770914,9770919
2000005,9770678,9770356
2000005,9770678,9770380
2000005,9770678,9770386
2000005,9770678,9770456
2000005,9770678,9770573
2000005,9770678,9770587
2000005,9770678,9770623
2000005,9770678,9770712
2000005,9770678,9770881
2000006,9770678,9770347
2000006,9770678,9770356
2000006,9770678,9770573
2000006,9770678,9770587
2000006,9770678,9770623
2000006,9770678,9770746
2000006,9770678,9770755
2000006,9770678,9770761
2000006,9770678,9770765
2000007,9770678,9770356
2000007,9770678,9770380
2000007,9770678,9770456
2000007,9770678,9770573
2000007,9770678,9770587
2000007,9770678,9770623
2000007,9770678,9770712
2000007,9770678,9770761
2000007,9770678,9770881
2000008,9770678,9770356
2000008,9770678,9770380
2000008,9770678,9770456
2000008,9770678,9770573
2000008,9770678,9770587
2000008,9770678,9770623
2000008,9770678,9770712
2000008,9770678,9770761
2000008,9770678,9770881
2000009,9771038,9770295
2000009,9771038,9770380
2000009,9771038,9770416
2000009,9771038,9770456
2000009,9771038,9770573
2000009,9771038,9770659
2000009,9771038,9770678
2000009,9771038,9770712
2000009,9771038,9770713
2000009,9771038,9770813
2000010,9770678,9770347
2000010,9770678,9770386
2000010,9770678,9770456
2000010,9770678,9770458
2000010,9770678,9770587
2000010,9770678,9770623
2000010,9770678,9770746
2000010,9770678,9770755
2000010,9770678,9770761
2000010,9770678,9770765
2000011,9770678,9770356
2000011,9770678,9770380
2000011,9770678,9770386
2000011,9770678,9770456
2000011,9770678,9770573
2000011,9770678,9770587
2000011,9770678,9770623
2000011,9770678,9770712
2000011,9770678,9770881
2000012,9770678,9770356
2000012,9770678,9770380
2000012,9770678,9770587
2000012,9770678,9770623
2000012,9770678,9770712
2000012,9770678,9770746
2000012,9770678,9770761
2000012,9770678,9770779
2000012,9770678,9770881
2000013,9770678,9770356
2000013,9770678,9770380
2000013,9770678,9770587
2000013,9770678,9770623
2000013,9770678,9770712
2000013,9770678,9770746
2000013,9770678,9770761
2000013,9770678,9770779
2000013,9770678,9770881
2000014,9770678,9770356
2000014,9770678,9770380
2000014,9770678,9770456
2000014,9770678,9770573
2000014,9770678,9770587
2000014,9770678,9770623
2000014,9770678,9770712
2000014,9770678,9770761
2000014,9770678,9770881
2000015,9770886,9770738
2000015,9770886,9770499
2000015,9770886,9770512
2000015,9770886,9770538
2000015,9770886,9770542
2000015,9770886,9770665
2000015,9770886,9770708
2000015,9770886,9770713
2000015,9770886,9770721
2000015,9770886,9770768
2000015,9770886,9770919
2000016,9770347,9770375
2000016,9770347,9770456
2000016,9770347,9770623
2000016,9770347,9770678
2000016,9770347,9770755
2000016,9770347,9770779
2000016,9770347,9770808
2000016,9770347,9770826
2000016,9770347,9770995
2000017,9770347,9770375
2000017,9770347,9770456
2000017,9770347,9770623
2000017,9770347,9770678
2000017,9770347,9770755
2000017,9770347,9770779
